TINA;31222;PARTIDO HUMANISTA DA SOLIDARIEDADE;PRP / PSL / PHS;111	
CONCEICAO OLIVEIRA;70707;PARTIDO TRABALHISTA DO BRASIL;PSDC / PT do B;111	
TILITO;15223;PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO;PMDB;109	
DANDÔ;54155;PARTIDO PATRIA LIVRE;PTB / PRTB / PPL;109	
RAIMUNDINHA BACELAR;25233;DEMOCRATAS;DEM;107	
CHICO SOARES;14014;PARTIDO TRABALHISTA BRASILEIRO;PTB / PRTB / PPL;107	
JOSUE MARTINS;13223;PARTIDO DOS TRABALHADORES;PT;107	
PORTELA;44333;PARTIDO REPUBLICANO PROGRESSISTA;PRP / PSL / PHS;106	
PAULO CESAR;70111;PARTIDO TRABALHISTA DO BRASIL;PSDC / PT do B;106	
MUNIZ;23345;PARTIDO POPULAR SOCIALISTA;PSC / PPS;104	
NEURIM;44654;PARTIDO REPUBLICANO PROGRESSISTA;PRP / PSL / PHS;103	
FERREIRINHA;23234;PARTIDO POPULAR SOCIALISTA;PSC / PPS;103	
ADRIANA CASTRO;70775;PARTIDO TRABALHISTA DO BRASIL;PSDC / PT do B;103	
VALDIR;25380;DEMOCRATAS;DEM;102	
ANTONIO JOSE MACHADO;25185;DEMOCRATAS;DEM;101	
RICARDO DEFENSOR;11175;PARTIDO PROGRESSISTA;PP / PDT;98	
ROSA HELENA;65789;PARTIDO COMUNISTA DO BRASIL;PC do B;95	
RENATO BARROS;54123;PARTIDO PATRIA LIVRE;PTB / PRTB / PPL;95	
ELIEL SANTOS;44258;PARTIDO REPUBLICANO PROGRESSISTA;PRP / PSL / PHS;94	
CARLOS FILHO;14114;PARTIDO TRABALHISTA BRASILEIRO;PTB / PRTB / PPL;7228	
LEVINO DE JESUS;10123;PARTIDO REPUBLICANO BRASILEIRO;PRB / PMN / PSB;6078	
EDSON MELO;45666;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;PSDB / PSD;5530	
TIAGO VASCONCELOS;40321;PARTIDO SOCIALISTA BRASILEIRO;PRB / PMN / PSB;5358	
JONINHA;45615;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;PSDB / PSD;5184	
INACIO CARVALHO;11456;PARTIDO PROGRESSISTA;PP / PDT;5091	
ANTONIO AGUIAR;14200;PARTIDO TRABALHISTA BRASILEIRO;PTB / PRTB / PPL;4947	
LUIZ LOBAO;15690;PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO;PMDB;4910	
ALUISIO SAMPAIO;12345;PARTIDO DEMOCRATICO TRABALHISTA;PP / PDT;4775	
PAULO ROBERTO DA ILUMINACAO;14789;PARTIDO TRABALHISTA BRASILEIRO;PTB / PRTB / PPL;4726	
